#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-0.2,0.0,0.0,-0.03,-0.241,-0.188,-1.631,-0.424,-1.969,-1.944,-6.324,-0.295,-0.542,-2.796,-8.82,14.181,-109.499,0.592,-6.466
-0.1,0.0,0.0,-0.071,1.234,-0.202,-1.106,-0.36,-0.223,-2.177,-7.354,-0.156,-0.933,-3.51,-9.397,14.634,-111.508,0.448,-6.184
-0.0,0.0,0.0,-0.173,0.988,-0.139,-2.446,-0.511,-0.174,-2.09,-3.517,-0.225,-0.896,-3.711,-7.674,14.823,-111.038,0.48,-6.487
0.1,0.0,0.0,-0.3,0.237,-0.24,-2.374,-1.014,1.667,-1.41,-1.759,-0.172,-0.775,-3.31,-6.367,15.072,-114.391,0.633,-8.783
0.2,0.0,0.0,-0.135,0.4,0.486,-5.071,-0.972,-0.052,-1.381,-1.144,-0.077,-0.37,-2.985,-6.72,13.866,-114.542,0.789,-9.232
0.3,0.0,0.0,-0.147,0.691,0.042,-1.765,-0.813,-0.569,-1.57,-2.157,-0.257,-0.889,-2.789,-5.644,14.585,-115.94,0.967,-11.793
0.4,0.0,0.0,-0.104,0.327,-0.374,0.036,-0.582,0.535,-1.993,-1.269,-0.306,-0.77,-3.524,-5.429,13.756,-111.027,2.348,-23.582
0.5,0.0,0.0,-0.275,1.942,-0.489,0.053,-0.506,1.073,-1.964,-0.769,-0.403,-0.625,-3.788,-5.643,14.439,-110.98,2.441,-25.246
0.6,0.0,0.0,-0.334,1.702,-0.438,0.243,-0.487,0.237,-1.481,-4.238,-0.595,-0.774,-3.116,-7.586,13.788,-106.499,1.694,-17.462
0.7,0.0,0.0,-0.483,6.171,-0.218,0.01,-0.501,1.034,-1.49,-2.89,-0.574,-1.111,-2.706,-8.271,13.044,-97.487,2.972,-31.741
0.8,0.0,0.0,-0.355,4.822,-0.095,-0.086,-0.456,0.771,-1.723,-2.793,-0.547,-0.965,-2.757,-7.366,13.676,-104.926,2.675,-28.725
0.9,0.0,0.0,-0.09,0.127,-0.071,0.075,-0.368,-0.494,-1.749,-3.779,-0.566,-1.469,-2.652,-5.381,14.626,-114.288,1.172,-11.963
1.0,0.0,0.0,-0.052,-0.287,-0.163,-0.474,-0.181,-0.136,-1.808,-2.834,-0.547,-1.71,-2.998,-4.93,14.966,-119.559,0.551,-6.039
1.1,0.0,0.0,-0.011,-0.56,-0.102,-0.461,-0.377,6.368,-2.067,-2.58,-0.613,-2.774,-2.964,-7.021,13.95,-113.441,1.72,-16.235
1.2,0.0,0.0,-0.003,0.845,-0.056,-0.226,-0.378,12.494,-2.147,-3.648,-0.631,-2.391,-2.74,-5.911,13.668,-113.233,2.539,-26.921
1.3,0.0,0.0,-0.006,0.08,-0.047,-0.091,-0.232,2.62,-2.449,-2.619,-0.731,-2.133,-3.169,-5.167,15.18,-111.719,1.115,-13.961
1.4,0.0,0.0,-0.001,-0.242,-0.062,-0.215,-0.144,-0.411,-2.302,-4.396,-0.907,-1.736,-2.731,-5.351,14.624,-108.812,1.322,-13.855
1.5,0.0,0.0,-0.0,-1.173,-0.013,-0.41,-0.06,-1.724,-2.568,-6.821,-1.103,-1.149,-3.142,-7.374,15.174,-109.909,0.725,-5.622
1.6,0.0,0.0,-0.0,-1.832,-0.077,-0.526,-0.066,-2.619,-2.47,-4.16,-0.945,-2.126,-2.74,-7.623,15.056,-113.918,0.376,-0.009
1.7,0.0,0.0,-0.0,-0.55,-0.153,-0.029,-0.153,-1.589,-2.367,-4.508,-0.95,-1.537,-2.687,-5.266,15.026,-115.739,0.65,-5.892
1.8,0.0,0.0,-0.0,-0.088,-0.189,-0.074,-0.147,-1.159,-2.206,-5.572,-0.766,-1.704,-2.831,-6.439,14.575,-109.197,0.914,-9.446
1.9,0.0,0.0,-0.0,0.321,-0.163,-0.241,-0.076,-1.078,-2.29,-3.897,-0.801,-2.392,-2.57,-4.596,14.342,-109.737,1.378,-14.637
2.0,0.0,0.0,-0.0,-0.423,-0.082,-0.079,-0.093,-1.478,-2.061,-2.795,-0.744,-1.99,-2.558,-4.914,14.425,-110.208,1.54,-15.052
2.1,0.0,0.0,-0.0,-0.912,-0.039,0.175,-0.087,-1.534,-2.0,-1.044,-0.712,-2.212,-2.534,-5.497,14.883,-109.532,1.734,-16.582
2.2,0.0,0.0,-0.0,-0.275,-0.027,-0.016,-0.095,-0.876,-2.004,-2.307,-0.735,-1.694,-2.397,-5.197,13.881,-107.437,1.849,-18.958
2.3,0.0,0.0,-0.0,0.041,-0.009,-0.105,-0.042,-0.492,-2.123,-4.675,-0.706,-1.213,-2.675,-6.158,14.006,-110.776,1.205,-12.196
2.4,0.0,0.0,0.0,0.376,0.027,-0.397,-0.029,0.51,-2.387,-6.573,-0.54,-1.138,-3.028,-6.472,14.461,-114.783,0.54,-5.978
2.5,0.0,0.0,-0.0,0.637,0.076,-0.953,-0.045,0.103,-2.632,-7.403,-0.424,-1.168,-3.497,-4.998,15.645,-120.673,0.167,-2.777
2.6,0.0,0.0,-0.0,-0.049,0.159,-1.723,-0.042,-0.491,-2.963,-6.577,-0.334,-1.242,-3.975,-6.837,15.632,-118.493,0.069,-0.728
2.7,0.0,0.0,-0.0,-0.244,-0.052,-0.509,-0.039,-0.854,-3.121,-6.085,-0.377,-1.208,-3.576,-7.54,15.643,-115.903,0.097,-0.671
2.8,0.0,0.0,-0.0,-0.614,-0.03,0.106,-0.039,-1.445,-2.496,-5.495,-0.543,-2.035,-2.792,-9.47,14.131,-116.248,0.222,-1.284
2.9,0.0,0.0,-0.0,-0.721,-0.03,0.007,-0.024,-1.199,-2.287,-2.782,-0.717,-1.929,-2.611,-9.03,14.713,-114.63,0.301,-1.837
3.0,0.0,0.0,-0.0,-0.526,-0.039,-0.041,-0.036,-0.995,-2.136,-2.875,-0.883,-2.028,-2.306,-7.289,14.651,-115.332,0.386,-3.131
3.1,0.0,0.0,-0.0,-0.36,-0.027,0.077,-0.038,-0.667,-2.392,-3.482,-0.972,-2.143,-2.465,-6.001,14.773,-111.216,1.016,-9.482
3.2,0.0,0.0,-0.0,-0.245,-0.008,0.034,-0.024,-0.658,-2.208,-3.127,-0.765,-1.625,-2.626,-5.315,14.624,-114.779,1.102,-10.94
3.3,0.0,0.0,-0.0,-0.122,-0.005,-0.004,-0.059,-0.398,-2.001,-3.763,-0.664,-1.372,-2.462,-4.746,14.336,-114.285,0.864,-9.115
3.4,0.0,0.0,-0.0,-0.331,-0.002,0.067,-0.089,0.184,-1.962,-1.294,-0.628,-1.189,-2.236,-5.783,14.375,-117.259,0.888,-9.187
3.5,0.0,0.0,0.0,-0.506,-0.002,0.145,-0.125,-0.635,-1.585,0.015,-0.548,-1.667,-2.254,-6.585,14.506,-119.804,0.612,-5.15
3.6,0.0,0.0,-0.0,-0.267,-0.008,0.078,-0.22,-0.153,-1.638,-1.81,-0.593,-1.396,-2.148,-5.522,14.372,-119.044,0.879,-7.719
3.7,0.0,0.0,-0.0,-0.354,-0.031,-0.028,-0.252,-0.141,-1.519,-1.538,-0.508,-1.112,-2.348,-6.112,14.598,-117.867,0.952,-8.965
3.8,0.0,0.0,-0.001,-0.459,0.28,-2.038,-0.213,-1.62,-1.546,-0.555,-0.374,-1.391,-2.47,-6.358,14.443,-117.61,0.59,-5.235
3.9,0.0,0.0,-0.006,-0.287,0.123,-1.079,-0.207,-1.238,-1.578,-1.171,-0.437,-1.228,-2.356,-5.202,14.734,-119.727,0.478,-4.363
4.0,0.0,0.0,-0.017,-0.013,-0.035,-0.327,-0.235,-1.345,-1.518,-1.947,-0.431,-1.122,-2.248,-5.587,14.414,-119.567,0.59,-5.311
4.1,0.0,0.0,-0.024,0.161,-0.072,-0.278,-0.228,-0.801,-1.304,-2.363,-0.345,-0.746,-1.959,-5.959,14.029,-117.741,0.956,-9.681
4.2,0.0,0.0,-0.008,-0.449,-0.077,-0.216,-0.244,-1.207,-1.235,0.29,-0.212,-0.519,-1.924,-6.661,14.146,-120.561,0.868,-8.455
4.3,0.0,0.0,-0.006,-0.342,-0.086,-0.064,-0.286,-1.475,-1.281,-0.422,-0.223,-0.507,-2.078,-5.454,14.334,-122.028,0.747,-7.196
4.4,0.0,0.0,-0.006,-0.203,-0.119,-0.152,-0.347,-1.817,-1.425,-1.95,-0.262,-0.45,-2.4,-4.7,14.509,-119.882,0.771,-7.666
4.5,0.0,0.0,-0.008,-0.394,-0.061,-0.258,-0.292,-1.834,-1.39,-0.593,-0.252,-0.519,-2.203,-5.598,14.627,-117.588,0.548,-5.149
4.6,0.0,0.0,-0.006,-0.31,-0.005,-0.387,-0.325,-1.547,-1.181,-0.008,-0.17,-0.451,-1.987,-4.942,14.759,-113.118,0.627,-6.183
4.7,0.0,0.0,-0.005,-0.084,-0.049,-0.144,-0.389,-1.233,-1.022,-1.19,-0.117,-0.208,-1.836,-3.522,14.34,-108.919,0.73,-7.984
4.8,0.0,0.0,-0.006,-0.353,-0.047,-0.006,-0.39,-0.902,-0.902,0.947,-0.099,-0.394,-1.682,-5.218,14.105,-113.794,0.904,-8.584
4.9,0.0,0.0,-0.012,-0.323,-0.041,-0.038,-0.501,1.314,-0.78,0.852,-0.086,-0.379,-1.486,-4.578,13.703,-119.954,1.238,-12.081
5.0,0.0,0.0,-0.02,-0.409,-0.011,-0.17,-0.482,-0.516,-0.698,0.991,-0.098,-0.453,-1.503,-4.878,13.921,-123.661,0.809,-7.668
5.1,0.0,0.0,-0.027,-0.447,-0.03,-0.193,-0.498,-1.293,-0.688,1.535,-0.099,-0.437,-1.558,-4.813,14.148,-126.558,0.637,-6.091
5.2,0.0,0.0,-0.031,-0.556,-0.058,-0.06,-0.51,-2.965,-0.547,2.568,-0.078,-0.508,-1.459,-5.705,14.103,-126.756,0.633,-5.12
5.3,0.0,0.0,-0.038,-0.599,-0.05,0.072,-0.445,-3.207,-0.484,3.491,-0.059,-0.594,-1.187,-6.184,13.957,-124.716,0.562,-4.182
5.4,0.0,0.0,-0.06,-0.68,-0.055,0.093,-0.396,-3.352,-0.393,3.739,-0.074,-0.596,-1.008,-5.869,13.972,-124.602,0.549,-3.991
5.5,0.0,0.0,-0.044,-0.733,-0.083,0.022,-0.348,-3.042,-0.274,3.353,-0.083,-0.584,-0.777,-4.917,13.758,-125.587,0.714,-5.621
5.6,0.0,0.0,-0.021,-0.742,-0.076,-0.06,-0.31,-2.838,-0.19,3.381,-0.073,-0.527,-0.555,-4.471,13.83,-128.086,0.595,-4.605
5.7,0.0,0.0,-0.013,-0.532,-0.039,-0.001,-0.235,-2.185,-0.119,2.661,-0.058,-0.381,-0.36,-3.382,13.592,-126.943,0.588,-4.877
5.8,0.0,0.0,-0.012,-0.535,-0.023,0.096,-0.185,-1.682,-0.064,2.447,-0.036,-0.338,-0.223,-2.922,13.421,-130.39,0.583,-5.15
5.9,0.0,0.0,-0.019,-0.652,-0.01,0.125,-0.159,-2.489,-0.039,2.92,-0.029,-0.38,-0.152,-3.36,13.375,-127.509,0.523,-4.193
6.0,0.0,0.0,-0.02,-0.591,-0.006,0.113,-0.143,-2.62,-0.028,2.677,-0.04,-0.352,-0.125,-3.059,13.35,-128.708,0.486,-4.095
6.1,0.0,0.0,-0.018,-0.537,-0.003,0.118,-0.14,-2.507,-0.021,2.502,-0.054,-0.315,-0.106,-2.849,13.417,-129.376,0.472,-3.684
6.2,0.0,0.0,-0.013,-0.566,-0.007,0.128,-0.078,-2.749,-0.011,2.772,-0.035,-0.341,-0.06,-3.051,13.395,-128.691,0.436,-3.11
6.3,0.0,0.0,-0.007,-0.432,-0.005,0.098,-0.039,-2.153,-0.004,2.329,-0.029,-0.248,-0.026,-2.539,13.462,-132.984,0.373,-2.622
6.4,0.0,0.0,-0.002,-0.36,-0.002,0.106,-0.018,-2.058,-0.007,2.276,-0.013,-0.231,-0.01,-2.467,13.523,-130.278,0.349,-2.323
6.5,0.0,0.0,-0.001,-0.35,-0.001,0.119,-0.009,-2.241,-0.008,2.545,-0.014,-0.256,-0.004,-2.735,13.599,-130.433,0.331,-2.041
6.6,0.0,0.0,-0.001,-0.255,-0.001,0.079,-0.005,-1.552,-0.005,1.702,-0.014,-0.187,-0.002,-1.832,13.51,-136.383,0.316,-2.135
6.7,0.0,0.0,-0.0,-0.248,-0.0,0.089,-0.003,-1.592,-0.002,1.879,-0.004,-0.188,-0.001,-2.01,13.443,-133.251,0.296,-2.111
6.8,0.0,0.0,0.002,-0.232,-0.0,0.083,-0.001,-1.514,-0.0,1.748,-0.001,-0.17,-0.0,-1.861,13.745,-136.122,0.239,-1.485
6.9,0.0,0.0,0.001,-0.223,-0.0,0.073,-0.0,-1.285,-0.0,1.492,-0.001,-0.146,-0.0,-1.585,13.38,-134.484,0.196,-1.289
