#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-5.1,-0.0,-1.437,-0.0,37.967,0.055,-41.38,0.0,0.0,-0.137,-676.791,0.049,23.222,-0.442,641.657,56.488,-882.207,-0.001,-45.554
-5.0,-0.0,-0.979,-0.0,25.525,0.186,-26.368,0.0,0.0,-0.083,-600.712,-0.176,10.319,-0.59,553.122,56.971,-864.527,-0.0,-44.008
-4.9,-0.0,1.058,0.0,11.191,0.083,-10.775,0.0,0.0,0.663,-519.052,-0.236,-3.031,-1.086,445.971,56.037,-835.733,-0.0,-42.036
-4.8,-0.003,3.385,-0.0,-2.491,0.226,4.172,0.0,0.0,1.805,-439.448,-0.331,-10.617,-1.443,344.44,54.877,-790.083,-0.0,-56.64
-4.7,-0.001,6.011,-0.0,-15.983,0.053,24.52,0.0,0.0,2.414,-364.064,0.006,-22.36,-1.762,245.556,54.017,-761.642,-0.0,-61.758
-4.6,-0.003,9.138,-0.005,-32.458,0.051,26.477,0.0,0.0,0.574,-282.755,-0.144,-14.354,-1.281,171.209,55.385,-763.188,-0.0,-56.136
-4.5,-0.007,9.485,-0.012,-58.229,0.032,30.071,0.0,0.0,0.259,-212.891,-0.105,-19.464,-1.347,88.926,56.078,-742.535,-0.001,-43.558
-4.4,-0.009,8.48,-0.004,-83.105,0.271,38.562,0.0,0.0,0.993,-130.031,0.037,-33.812,-1.813,-12.707,54.776,-711.743,-0.001,-24.886
-4.3,-0.006,6.547,-0.001,-105.265,0.12,50.002,0.0,0.0,3.728,-43.223,1.328,-71.366,-3.181,-148.522,50.225,-619.569,-0.0,-10.55
-4.2,-0.006,6.669,-0.001,-123.915,0.06,63.27,0.0,0.0,3.844,36.796,1.456,-87.276,-3.468,-251.909,52.444,-589.032,-0.0,3.164
